Weather,Time of Day (minutes),Number of People
snowy,9475,70
snowy,6772,61
rainy,5697,80
sunny,1548,47
sunny,3175,41
snowy,6769,69
windy,6219,51
sunny,2952,39
snowy,6854,51
windy,6910,56
rainy,9459,96
snowy,9100,35
rainy,7202,73
snowy,8627,71
rainy,8950,88
sunny,7603,34
rainy,8763,76
snowy,668,38
snowy,5108,57
windy,4226,65
windy,6715,25
snowy,4748,50
rainy,2099,90
sunny,3178,5
windy,8026,22
snowy,4900,87
snowy,2174,65
snowy,9645,69
windy,4954,50
rainy,7464,70
snowy,10027,74
windy,2647,20
windy,814,45
windy,1136,115
rainy,5944,90
sunny,2237,28
snowy,2660,52
sunny,2111,24
sunny,9266,14
snowy,7729,47
rainy,4983,56
rainy,8263,79
sunny,3515,53
snowy,8635,74
rainy,5112,90
windy,3423,38
snowy,2533,51
windy,7710,39
windy,6031,54
snowy,5702,62
sunny,9455,35
sunny,7977,18
rainy,2792,84
sunny,6101,59
rainy,1697,65
windy,9968,51
windy,9454,77
sunny,4938,26
snowy,2653,72
sunny,2951,31
snowy,8615,62
rainy,9849,79
snowy,2168,63
windy,5537,32
windy,2661,42
rainy,9185,86
rainy,4270,105
sunny,6682,15
rainy,6538,87
sunny,8210,16
rainy,4013,59
sunny,8585,51
snowy,8676,34
sunny,2087,14
sunny,6355,18
windy,5130,53
windy,7179,25
windy,9834,50
windy,8030,64
snowy,3981,43
snowy,7930,42
windy,378,40
snowy,8701,45
snowy,9003,67
snowy,1406,79
rainy,6793,75
sunny,6337,39
snowy,9115,53
sunny,463,27
windy,6830,42
sunny,9202,26
rainy,483,74
rainy,846,60
snowy,6431,43
rainy,1602,68
sunny,301,57
sunny,6138,31
rainy,71,76
windy,939,22
windy,1220,28
sunny,2070,19
rainy,7645,95
sunny,2904,62
sunny,6467,32
sunny,1879,34
sunny,6917,14
sunny,7813,27
rainy,4819,54
snowy,7279,56
rainy,2292,73
snowy,2304,52
windy,6605,49
windy,8705,62
snowy,7340,66
rainy,5380,63
sunny,7964,14
sunny,7677,42
rainy,6198,66
windy,1455,64
windy,3462,40
windy,6637,23
rainy,1505,67
sunny,8780,51
sunny,5036,44
windy,1749,39
windy,5607,47
rainy,6819,104
snowy,5890,54
windy,4718,62
snowy,1872,75
sunny,2352,37
rainy,3337,80
windy,7244,33
sunny,942,50
rainy,7918,55
windy,8611,16
sunny,4571,27
snowy,7941,57
rainy,4830,60
windy,3878,36
snowy,8866,71
windy,3219,29
snowy,6794,50
windy,7973,43
sunny,3114,11
windy,5722,49
windy,724,87
snowy,8936,90
sunny,5258,41
rainy,5327,79
sunny,1349,26
sunny,5185,21
snowy,626,81
windy,8832,40
rainy,5193,57
sunny,754,69
rainy,6497,77
sunny,8211,37
windy,317,40
snowy,5028,45
windy,1649,55
snowy,9144,35
snowy,8249,67
sunny,411,25
sunny,3885,44
sunny,9971,51
sunny,9894,31
sunny,2317,31
windy,8090,25
sunny,1982,2
rainy,2354,62
snowy,9591,25
windy,7435,35
snowy,4894,51
windy,4011,46
sunny,1742,24
rainy,4034,68
sunny,408,23
rainy,4074,76
rainy,920,86
sunny,9766,25
rainy,2190,53
rainy,4886,71
snowy,4354,58
rainy,3638,96
rainy,7874,64
sunny,6456,20
sunny,9771,60
snowy,2926,50
windy,4595,38
rainy,9604,77
rainy,9740,83
snowy,8144,99
snowy,2993,72
sunny,9297,42
snowy,2029,38
sunny,5164,37
windy,692,54
snowy,5589,62
snowy,5718,56
snowy,7592,45
rainy,3842,81
windy,7586,33
snowy,3390,30
snowy,7415,42
rainy,5982,85
snowy,1868,63
rainy,5345,94
rainy,3856,95
rainy,4907,98
windy,9831,7
snowy,9822,64
sunny,1233,30
windy,2457,31
rainy,2054,105
sunny,9252,0
snowy,2629,53
rainy,10015,96
rainy,7684,87
rainy,9360,93
windy,2811,27
sunny,8311,19
rainy,177,69
sunny,3009,6
sunny,4433,26
rainy,897,87
sunny,6829,18
sunny,1465,14
sunny,5267,39
windy,713,27
sunny,199,34
sunny,3088,8
windy,2914,42
windy,7139,16
snowy,3475,43
sunny,9268,64
snowy,9477,23
windy,2621,46
windy,6246,28
rainy,4728,68
sunny,4622,13
sunny,94,25
sunny,3649,36
snowy,445,89
rainy,8842,83
rainy,4634,86
windy,8634,44
sunny,6430,30
snowy,6261,65
snowy,140,81
sunny,9764,50
windy,5837,53
sunny,3839,29
rainy,615,85
rainy,6874,71
windy,679,31
rainy,1141,142
windy,149,10
snowy,7506,60
windy,735,91
windy,8594,57
snowy,5420,65
rainy,5983,80
windy,6588,50
snowy,8090,74
snowy,4070,74
sunny,3512,28
rainy,3536,82
sunny,1884,4
sunny,7010,2
windy,6566,39
snowy,9667,38
sunny,1096,80
sunny,3330,17
sunny,2248,46
rainy,4812,81
rainy,2900,100
snowy,299,35
snowy,900,80
windy,2220,7
rainy,2231,66
rainy,9855,89
windy,916,31
sunny,279,36
snowy,9688,72
rainy,6988,77
sunny,9641,30
snowy,9749,27
windy,216,28
windy,5265,25
sunny,6654,23
windy,9513,37
rainy,9700,73
rainy,5675,82
rainy,6930,88
rainy,2532,95
sunny,2693,3
rainy,3103,91
snowy,2394,77
rainy,6676,79
rainy,8545,90
windy,3083,50
snowy,2175,81
snowy,6300,39
rainy,5332,64
windy,421,59
sunny,5942,66
rainy,7808,90
sunny,8145,11
windy,2633,28
sunny,5816,79
sunny,843,33
windy,803,45
sunny,8996,28
snowy,6662,49
rainy,5894,88
rainy,6492,60
snowy,8335,73
snowy,8764,72
snowy,9274,54
rainy,1048,88
rainy,4313,53
sunny,6935,4
windy,1897,58
snowy,2441,65
snowy,1740,61
sunny,4884,35
rainy,7971,77
sunny,2760,38
windy,9418,50
snowy,7110,47
snowy,7318,49
sunny,4321,12
rainy,1666,94
snowy,547,32
windy,9202,42
rainy,7042,84
snowy,1136,100
windy,9575,22
snowy,2430,63
snowy,8191,52
rainy,2299,86
windy,4640,32
windy,874,31
sunny,8466,3
sunny,4079,16
windy,7561,56
rainy,5797,69
snowy,5790,64
rainy,7021,79
snowy,765,131
windy,9877,28
sunny,5675,43
rainy,2699,77
sunny,9669,26
snowy,9135,44
sunny,5387,30
snowy,2768,54
rainy,4785,77
snowy,4198,39
sunny,2493,31
windy,500,51
rainy,1158,131
windy,9967,15
windy,2164,46
rainy,9982,71
windy,6797,34
rainy,6247,72
windy,8923,27
rainy,1958,73
sunny,2985,42
rainy,118,89
rainy,3019,71
windy,7270,22
rainy,5257,84
rainy,3646,72
windy,3907,58
snowy,533,51
windy,7355,41
rainy,6839,92
windy,1328,49
rainy,2823,79
sunny,1777,16
sunny,52,1
windy,8534,64
rainy,660,39
snowy,7126,69
sunny,7132,57
snowy,1226,54
snowy,2074,49
snowy,7163,72
snowy,6477,24
snowy,4130,48
windy,2611,35
rainy,5035,65
sunny,166,75
windy,5861,15
sunny,8935,24
rainy,4179,94
snowy,3237,69
snowy,10031,63
sunny,1266,18
rainy,9543,57
windy,6476,61
rainy,6492,88
snowy,5133,40
snowy,4125,47
windy,4327,42
sunny,10003,29
sunny,7983,6
rainy,10079,92
snowy,9725,35
rainy,7848,91
windy,6762,44
sunny,6070,50
rainy,5621,65
rainy,6205,109
sunny,4451,0
sunny,4739,31
snowy,64,71
sunny,7404,54
snowy,7534,69
rainy,3148,84
snowy,2354,31
sunny,7786,4
snowy,9830,44
snowy,7685,75
sunny,8653,36
rainy,8144,89
snowy,3782,35
rainy,474,86
sunny,8735,28
windy,5459,51
sunny,5004,34
windy,512,17
snowy,5739,79
sunny,8669,35
sunny,6397,40
rainy,9485,70
snowy,9301,78
sunny,3721,37
sunny,1911,11
sunny,2865,0
rainy,3168,68
snowy,7910,49
sunny,4908,40
windy,1082,84
windy,1138,100
rainy,9728,89
snowy,6926,79
snowy,2256,56
sunny,1777,11
sunny,2000,26
sunny,8270,28
snowy,6278,81
windy,2430,53
windy,6395,56
rainy,143,68
snowy,613,48
sunny,6625,38
windy,9298,40
windy,6331,29
rainy,8041,85
snowy,2019,80
windy,5346,37
rainy,485,96
windy,8252,48
rainy,3955,89
windy,87,42
snowy,1834,51
windy,6318,33
windy,7162,52
snowy,9115,77
rainy,10030,73
rainy,5882,64
snowy,2247,77
sunny,5211,4
rainy,7154,77
windy,6035,32
snowy,7893,59
sunny,1755,28
windy,679,47
sunny,6444,18
rainy,916,65
rainy,3674,84
snowy,7835,30
rainy,6778,96
windy,6925,60
windy,2782,63
rainy,6144,72
sunny,7834,12
rainy,2584,74
windy,1611,38
snowy,6309,82
sunny,3824,14
rainy,2934,82
snowy,3268,49
windy,7756,22
snowy,1143,96
snowy,4604,39
sunny,623,19
sunny,8619,30
sunny,8984,13
sunny,4658,23
snowy,5088,63
sunny,1501,38
sunny,9165,25
sunny,8023,24
sunny,3374,16
sunny,8103,50
windy,5830,40
snowy,5194,42
sunny,4799,36
snowy,2187,59
windy,7126,25
sunny,5337,49
sunny,4091,21
snowy,6269,63
windy,7219,41
rainy,1400,65
sunny,2743,51
rainy,1247,59
sunny,490,15
windy,2505,42
rainy,5369,80
rainy,5417,67
sunny,2370,38
snowy,3231,35
windy,3403,40
rainy,1101,126
snowy,9208,36
sunny,2609,65
sunny,2994,1
rainy,8051,108
windy,7354,74
windy,8753,36
sunny,9970,18
rainy,3171,91
windy,3445,44
sunny,9998,10
rainy,8272,89
windy,6568,50
snowy,6330,54
rainy,8333,86
rainy,2515,98
rainy,6024,84
snowy,7903,88
rainy,9075,63
snowy,5176,67
snowy,7753,58
rainy,4984,92
snowy,4152,37
windy,5249,43
rainy,5908,104
snowy,5889,48
windy,828,12
rainy,9928,63
sunny,1996,23
snowy,3130,41
snowy,2058,53
sunny,9880,4
rainy,4049,82
sunny,3043,15
windy,9875,49
rainy,9672,64
rainy,10076,102
windy,827,29
windy,4493,57
snowy,520,54
snowy,1658,79
sunny,2925,7
snowy,4463,60
sunny,7142,17
windy,8990,32
snowy,7742,48
windy,3769,33
rainy,802,80
sunny,5281,51
windy,706,53
snowy,6426,61
sunny,2804,33
snowy,1436,55
snowy,3281,61
sunny,5647,16
snowy,7371,47
sunny,10061,20
sunny,2919,43
windy,5405,33
sunny,4888,1
rainy,8530,93
rainy,8886,69
sunny,6102,58
snowy,6085,52
sunny,7765,23
sunny,705,21
rainy,2416,83
windy,6391,64
sunny,5070,3
windy,231,31
sunny,7028,57
windy,930,23
snowy,9597,47
snowy,1502,26
windy,2138,77
sunny,874,41
sunny,3460,45
rainy,916,83
sunny,3657,30
sunny,7358,56
rainy,8319,63
snowy,5827,76
snowy,8139,46
rainy,3552,78
snowy,9179,60
snowy,7526,57
sunny,6699,22
snowy,6779,53
windy,5914,5
snowy,2472,70
snowy,2427,59
rainy,1799,88
windy,133,32
rainy,2740,97
